,city,gu,dong
667,대구광역시,북구,복현동
668,대구광역시,북구,검단동
669,대구광역시,북구,동변동
670,대구광역시,북구,서변동
671,대구광역시,북구,조야동
672,대구광역시,북구,노곡동
673,대구광역시,북구,읍내동
674,대구광역시,북구,동호동
675,대구광역시,북구,학정동
676,대구광역시,북구,도남동
677,대구광역시,북구,국우동
678,대구광역시,북구,구암동
679,대구광역시,북구,동천동
680,대구광역시,북구,관음동
681,대구광역시,북구,태전동
682,대구광역시,북구,매천동
683,대구광역시,북구,팔달동
684,대구광역시,북구,금호동
685,대구광역시,북구,사수동
686,대구광역시,북구,연경동
687,대구광역시,수성구,범어동
688,대구광역시,수성구,만촌동
689,대구광역시,수성구,수성동
690,대구광역시,수성구,황금동
691,대구광역시,수성구,중동
692,대구광역시,수성구,상동
693,대구광역시,수성구,파동
694,대구광역시,수성구,두산동
695,대구광역시,수성구,지산동
696,대구광역시,수성구,범물동
697,대구광역시,수성구,시지동
698,대구광역시,수성구,매호동
699,대구광역시,수성구,성동
700,대구광역시,수성구,사월동
701,대구광역시,수성구,신매동
702,대구광역시,수성구,욱수동
703,대구광역시,수성구,노변동
704,대구광역시,수성구,삼덕동
705,대구광역시,수성구,연호동
706,대구광역시,수성구,이천동
707,대구광역시,수성구,고모동
708,대구광역시,수성구,가천동
709,대구광역시,수성구,대흥동
710,대구광역시,달서구,성당동
711,대구광역시,달서구,두류동
712,대구광역시,달서구,파호동
713,대구광역시,달서구,호림동
714,대구광역시,달서구,갈산동
715,대구광역시,달서구,신당동
716,대구광역시,달서구,이곡동
717,대구광역시,달서구,장동
718,대구광역시,달서구,장기동
719,대구광역시,달서구,용산동
720,대구광역시,달서구,죽전동
721,대구광역시,달서구,감삼동
722,대구광역시,달서구,본리동
723,대구광역시,달서구,상인동
724,대구광역시,달서구,도원동
725,대구광역시,달서구,진천동
726,대구광역시,달서구,유천동
727,대구광역시,달서구,대천동
728,대구광역시,달서구,월성동
729,대구광역시,달서구,월암동
730,대구광역시,달서구,송현동
731,대구광역시,달서구,대곡동
732,대구광역시,달서구,본동
733,대구광역시,달서구,호산동
734,대구광역시,,화원읍
735,대구광역시,,천내리
736,대구광역시,,구라리
737,대구광역시,,성산리
738,대구광역시,,설화리
739,대구광역시,,명곡리
740,대구광역시,,본리리
741,대구광역시,,논공읍
742,대구광역시,,노이리
743,대구광역시,,금포리
744,대구광역시,,삼리리
745,대구광역시,,위천리
746,대구광역시,,상리
747,대구광역시,,하리
748,대구광역시,,남리
749,대구광역시,,북리
750,대구광역시,,본리리
751,대구광역시,,다사읍
752,대구광역시,,이천리
753,대구광역시,,달천리
754,대구광역시,,박곡리
755,대구광역시,,방천리
756,대구광역시,,서재리
757,대구광역시,,세천리
758,대구광역시,,죽곡리
759,대구광역시,,매곡리
760,대구광역시,,부곡리
761,대구광역시,,문양리
762,대구광역시,,문산리
763,대구광역시,,유가읍
764,대구광역시,,음리
765,대구광역시,,양리
766,대구광역시,,용리
767,대구광역시,,봉리
768,대구광역시,,쌍계리
769,대구광역시,,초곡리
770,대구광역시,,상리
771,대구광역시,,금리
772,대구광역시,,유곡리
773,대구광역시,,도의리
774,대구광역시,,가태리
775,대구광역시,,한정리
776,대구광역시,,본말리
777,대구광역시,,가창면
778,대구광역시,,용계리
779,대구광역시,,오리
780,대구광역시,,정대리
781,대구광역시,,냉천리
782,대구광역시,,행정리
783,대구광역시,,상원리
784,대구광역시,,단산리
785,대구광역시,,대일리
786,대구광역시,,주리
787,대구광역시,,옥분리
788,대구광역시,,삼산리
789,대구광역시,,우록리
790,대구광역시,,하빈면
791,대구광역시,,하산리
792,대구광역시,,묘리
793,대구광역시,,기곡리
794,대구광역시,,대평리
795,대구광역시,,무등리
796,대구광역시,,현내리
797,대구광역시,,감문리
798,대구광역시,,동곡리
799,대구광역시,,봉촌리
800,대구광역시,,옥포면
801,대구광역시,,신당리
802,대구광역시,,교항리
803,대구광역시,,강림리
804,대구광역시,,송촌리
805,대구광역시,,간경리
806,대구광역시,,기세리
807,대구광역시,,반송리
808,대구광역시,,김흥리
809,대구광역시,,본리리
810,대구광역시,,현풍면
811,대구광역시,,상리
812,대구광역시,,중리
813,대구광역시,,부리
814,대구광역시,,하리
815,대구광역시,,성하리
816,대구광역시,,원교리
817,대구광역시,,자모리
818,대구광역시,,오산리
819,대구광역시,,지리
820,대구광역시,,대리
821,대구광역시,,신기리
822,대구광역시,,구지면
823,대구광역시,,창리
824,대구광역시,,응암리
825,대구광역시,,고봉리
826,대구광역시,,가천리
827,대구광역시,,평촌리
828,대구광역시,,예현리
829,대구광역시,,유산리
830,대구광역시,,목단리
831,대구광역시,,대암리
832,대구광역시,,내리
833,대구광역시,,화산리
834,대구광역시,,수리리
835,대구광역시,,징리
836,대구광역시,,오설리
837,대구광역시,,도동리
838,인천광역시,중구,중앙동
839,인천광역시,중구,해안동
840,인천광역시,중구,관동
841,인천광역시,중구,항동
842,인천광역시,중구,송학동
843,인천광역시,중구,사동
844,인천광역시,중구,신생동
845,인천광역시,중구,신포동
846,인천광역시,중구,답동
847,인천광역시,중구,신흥동
848,인천광역시,중구,선화동
849,인천광역시,중구,유동
850,인천광역시,중구,율목동
851,인천광역시,중구,도원동
852,인천광역시,중구,내동
853,인천광역시,중구,경동
854,인천광역시,중구,용동
855,인천광역시,중구,인현동
856,인천광역시,중구,전동
857,인천광역시,중구,북성동
858,인천광역시,중구,선린동
859,인천광역시,중구,송월동
860,인천광역시,중구,중산동
861,인천광역시,중구,운남동
862,인천광역시,중구,운서동
863,인천광역시,중구,운북동
864,인천광역시,중구,을왕동
865,인천광역시,중구,남북동
866,인천광역시,중구,덕교동
867,인천광역시,중구,무의동
868,인천광역시,동구,만석동
869,인천광역시,동구,화수동
870,인천광역시,동구,송현동
871,인천광역시,동구,화평동
872,인천광역시,동구,창영동
873,인천광역시,동구,금곡동
874,인천광역시,동구,송림동
875,인천광역시,남구,숭의동
876,인천광역시,남구,용현동
877,인천광역시,남구,학익동
878,인천광역시,남구,도화동
879,인천광역시,남구,주안동
880,인천광역시,남구,관교동
881,인천광역시,남구,문학동
882,인천광역시,연수구,옥련동
883,인천광역시,연수구,선학동
884,인천광역시,연수구,연수동
885,인천광역시,연수구,청학동
886,인천광역시,연수구,동춘동
887,인천광역시,연수구,송도동
888,인천광역시,남동구,구월동
889,인천광역시,남동구,간석동
890,인천광역시,남동구,만수동
891,인천광역시,남동구,장수동
892,인천광역시,남동구,서창동
893,인천광역시,남동구,운연동
894,인천광역시,남동구,남촌동
895,인천광역시,남동구,수산동
896,인천광역시,남동구,도림동
897,인천광역시,남동구,논현동
898,인천광역시,남동구,고잔동
899,인천광역시,부평구,부평동
900,인천광역시,부평구,십정동
901,인천광역시,부평구,산곡동
902,인천광역시,부평구,청천동
903,인천광역시,부평구,삼산동
904,인천광역시,부평구,갈산동
905,인천광역시,부평구,부개동
