,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
874,구포초등학교,초등학교,1907-10-15,공립,본교,부산광역시 북구 구포동 725,부산광역시,북구,구포동,35.20272144,129.0006961
875,낙동중학교,중학교,1946-10-25,공립,본교,부산광역시 강서구 대저1동 1491-7,부산광역시,강서구,대저1동,35.21643385,128.9662764
876,배명고등학교,고등학교,1934-10-07,사립,본교,서울특별시 송파구 삼전동 172-1,서울특별시,송파구,삼전동,37.4976895,127.0958118
877,방학중학교,중학교,1982-04-15,공립,본교,서울특별시 도봉구 방학동 313,서울특별시,도봉구,방학동,37.66546957,127.030859
878,상암고등학교,고등학교,2007-05-10,공립,본교,서울특별시 마포구 상암동 1659,서울특별시,마포구,상암동,37.58138322,126.8833945
879,언남중학교,중학교,1989-05-10,공립,본교,서울특별시 서초구 양재동 310,서울특별시,서초구,양재동,37.47240137,127.0442813
880,서울창도초등학교,초등학교,1982-10-07,공립,본교,서울특별시 도봉구 방학동 722-9,서울특별시,도봉구,방학동,37.66413487,127.048784
881,서울송원초등학교,초등학교,2009-03-01,공립,본교,서울특별시 성동구 송정동 72-8,서울특별시,성동구,송정동,37.55415927,127.0695262
882,대원외국어고등학교,고등학교,1984-05-20,사립,본교,서울특별시 광진구 중곡동 176-124,서울특별시,광진구,중곡동,37.56249279,127.0894374
883,서울상원초등학교,초등학교,1989-09-30,공립,본교,서울특별시 노원구 상계동 645,서울특별시,노원구,상계동,37.66763033,127.0597173
884,서울용마초등학교,초등학교,1972-11-23,공립,본교,서울특별시 광진구 중곡동 135-1,서울특별시,광진구,중곡동,37.55782735,127.0835274
885,동양중학교,중학교,2004-03-01,공립,본교,부산광역시 부산진구 부암동 718,부산광역시,부산진구,부암동,35.177302,129.0318199
886,남천초등학교,초등학교,1917-04-01,공립,본교,부산광역시 수영구 남천동 69-24,부산광역시,수영구,남천동,35.14351561,129.1071268
887,서울홍릉초등학교,초등학교,1967-11-30,공립,본교,서울특별시 동대문구 청량리동 206-44,서울특별시,동대문구,청량리동,37.59068752,127.0477051
888,상암중학교,중학교,2007-06-05,공립,본교,서울특별시 마포구 상암동 1657,서울특별시,마포구,상암동,37.57905692,126.8875508
889,서울삼전초등학교,초등학교,1983-10-07,공립,본교,서울특별시 송파구 삼전동 63,서울특별시,송파구,삼전동,37.50169984,127.0932689
890,양정고등학교,고등학교,1905-05-12,사립,본교,서울특별시 양천구 목동 911-2,서울특별시,양천구,목동,37.53539226,126.8877343
891,신명초등학교,초등학교,2017-05-04,공립,본교,부산광역시 강서구 명지동 3427,부산광역시,강서구,명지동,35.09523277,128.9207165
892,서울매그넷고등학교,고등학교,1987-03-03,사립,본교,서울특별시 금천구 시흥동 산100-4,서울특별시,금천구,시흥동,37.45193626,126.9158199
893,숭문중학교,중학교,1906-04-01,사립,본교,서울특별시 마포구 대흥동 28-16,서울특별시,마포구,대흥동,37.55089081,126.9457689
